claim_id,dataset,detector,seed_or_seed_aggregation,phase_rule,nominal_fpr_target,evaluation_unit,analysis_detail,metric,metric_definition,exact_numeric_value,value_unit,ci_lower_95,ci_upper_95,ci_method,ci_source_csv,ci_source_rows,source_csv,source_file,source_rows,corresponding_figure,evidence_status
E000022,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,8.240823308685576,ratio,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000023,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.1349343339587242,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000024,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.46591308156383376,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000025,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.02857142857142857,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000026,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.2571428571428571,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000027,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.3142857142857143,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000028,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,1.4,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000029,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,0.8571428571428571,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000030,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,3.914285714285714,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000031,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.005340960695138235,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000032,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0005534034311012728,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000033,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.00282422474095687,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000034,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.013470541471601448,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000035,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.012917138040500174,fraction difference,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000036,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.010646316730644579,fraction difference,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000037,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,24.341268439183818,ratio,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000038,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.12772723257662752,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000039,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.5356941646937771,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000040,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.08695652173913043,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000041,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.391304347826087,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000042,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.30434782608695654,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000043,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,2.739130434782609,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000044,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,0.8260869565217391,fraction,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000045,DS02 discovery,pca,-1,primary,0.005,engine_15,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,10.173913043478262,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,4,,exploratory
E000046,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.005349643164716829,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000047,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0004446071764828957,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000048,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.0025493430539053397,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000049,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.012576968426568845,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000050,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.01213236125008595,fraction difference,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000051,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.010027625372663506,fraction difference,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000052,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,28.287821456369787,ratio,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000053,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.11404772904355741,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000054,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.5101248348325783,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000055,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.06578947368421052,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000056,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.2894736842105263,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000057,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.4473684210526316,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000058,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,2.8421052631578947,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000059,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,0.881578947368421,fraction,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000060,DS02 discovery,pca,-1,primary,0.005,pooled,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,10.710526315789474,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,5,,exploratory
E000061,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.01141552511415525,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000062,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0009687395208465294,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000063,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.004056162246489859,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000064,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.027800199745529667,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000065,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.026831460224683138,fraction difference,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000066,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.02374403749903981,fraction difference,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000067,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,28.69729080654887,ratio,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000068,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.13631948339786298,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000069,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.5085644804752123,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000070,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.1111111111111111,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000071,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.2777777777777778,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000072,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.9444444444444444,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000073,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,7.611111111111111,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000074,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,1.0,fraction,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000075,DS02 discovery,pca,-1,primary,0.01,engine_11,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,37.77777777777778,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,6,,exploratory
E000076,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.02110200918802236,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000077,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0029409361980230375,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000078,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.004913563232165863,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000079,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.04971857410881801,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000080,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.04677763791079497,fraction difference,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000081,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.044805010876652146,fraction difference,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000082,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,16.905696268501146,ratio,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000083,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.16397748592870545,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000084,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.46591308156383376,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000085,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.14285714285714285,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000086,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.3142857142857143,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000087,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.34285714285714286,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000088,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,3.142857142857143,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000089,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,0.9714285714285714,fraction,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000090,DS02 discovery,pca,-1,primary,0.01,engine_14,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,5.542857142857143,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,7,,exploratory
E000091,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.013162621408576715,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000092,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0011273032855766668,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000093,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.004245688848988142,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000094,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.036657539086653125,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000095,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.035530235801076455,fraction difference,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000096,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.032411850237664984,fraction difference,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000097,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,32.51790317270399,ratio,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000098,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.18163148131790477,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000099,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.5356941646937771,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000100,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.13043478260869565,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000101,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.34782608695652173,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000102,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.391304347826087,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000103,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,3.9130434782608696,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000104,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,1.0,fraction,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000105,DS02 discovery,pca,-1,primary,0.01,engine_15,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,14.956521739130435,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,8,,exploratory
E000106,DS02 discovery,pca,-1,primary,0.01,pooled,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.013626928769166477,fraction,0.00899015893193616,0.022621665918024992,hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,results/final_validation/hierarchical_bootstrap_ci.csv,2,results/final_validation/canonical_results.csv,,9,,exploratory
E000107,DS02 discovery,pca,-1,primary,0.01,pooled,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.001246643651706943,fraction,0.00015253197752886118,0.003668322157451112,hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,results/final_validation/hierarchical_bootstrap_ci.csv,3,results/final_validation/canonical_results.csv,,9,,exploratory
E000108,DS02 discovery,pca,-1,primary,0.01,pooled,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.0042796663936600955,fraction,0.0026682453251534437,0.00658948110591027,hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,results/final_validation/hierarchical_bootstrap_ci.csv,4,results/final_validation/canonical_results.csv,,9,,exploratory
E000109,DS02 discovery,pca,-1,primary,0.01,pooled,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.03459355844084205,fraction,0.021710782484482414,0.05836811003059234,hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,results/final_validation/hierarchical_bootstrap_ci.csv,5,results/final_validation/canonical_results.csv,,9,,exploratory
E000110,DS02 discovery,pca,-1,primary,0.01,pooled,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.0333469147891351,fraction difference,0.020703107398622304,0.056288965878956626,hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,results/final_validation/hierarchical_bootstrap_ci.csv,6,results/final_validation/canonical_results.csv,,9,,exploratory
