manuscript_key,selection_group,dataset,detector,correction,seed_or_aggregation,phase_rule,nominal_fpr_target,evaluation_unit,metric,metric_definition,exact_value,display_rounded_value,units,ci_lower_95_exact,ci_upper_95_exact,ci_display_rounded,ci_method,evidence_id,original_source_csv,original_source_rows,exploratory_or_confirmatory
D02-PCA-SINGLE-false_alarm_events_per_healthy_flight_cruise,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,4.434210526315789,4.434 events/flight,events per healthy flight,,,,,E000118,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-healthy_flights_with_alarm_descent,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,0.9868421052631579,98.684%,fraction,,,,,E000119,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-false_alarm_events_per_healthy_flight_descent,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,16.026315789473685,16.026 events/flight,events per healthy flight,,,,,E000120,results/final_validation/canonical_results.csv,9,exploratory
D02-IF-MEAN-overall_fpr,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,overall_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated. No CI for the seed mean was executed.",0.011271115544134364,1.127%,fraction,,,,,E002626,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-climb_fpr,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,climb_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy climb audit rows alarmed / healthy climb audit rows. No CI for the seed mean was executed.",0.0026792667759296066,0.268%,fraction,,,,,E002627,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-cruise_fpr,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,cruise_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy cruise audit rows alarmed / healthy cruise audit rows. No CI for the seed mean was executed.",0.005583176642942011,0.558%,fraction,,,,,E002628,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-descent_fpr,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy descent audit rows alarmed / healthy descent audit rows. No CI for the seed mean was executed.",0.024866634029065852,2.487%,fraction,,,,,E002629,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-descent_minus_climb,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_minus_climb,"Arithmetic mean over seeds 0, 1, 2 of: Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100. No CI for the seed mean was executed.",0.022187367253136244,+2.219 pp,fraction difference,,,,,E002630,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-descent_minus_cruise,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_minus_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100. No CI for the seed mean was executed.",0.01928345738612384,+1.928 pp,fraction difference,,,,,E002631,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-worst_cross_phase_transfer_fpr,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,worst_cross_phase_transfer_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers. No CI for the seed mean was executed.",0.27280897120306336,27.281%,fraction,,,,,E002633,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-healthy_flights_with_alarm_climb,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_climb,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one climb-phase false alarm. No CI for the seed mean was executed.",0.6535087719298246,65.351%,fraction,,,,,E002635,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-false_alarm_events_per_healthy_flight_climb,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_climb,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous climb-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",0.9605263157894737,0.961 events/flight,events per healthy flight,,,,,E002636,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-healthy_flights_with_alarm_cruise,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one cruise-phase false alarm. No CI for the seed mean was executed.",0.4517543859649123,45.175%,fraction,,,,,E002637,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-false_alarm_events_per_healthy_flight_cruise,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous cruise-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",2.9649122807017543,2.965 events/flight,events per healthy flight,,,,,E002638,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-healthy_flights_with_alarm_descent,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_descent,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one descent-phase false alarm. No CI for the seed mean was executed.",0.8640350877192983,86.404%,fraction,,,,,E002639,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-IF-MEAN-false_alarm_events_per_healthy_flight_descent,frozen primary pooled endpoint,DS02 discovery,isolation_forest,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_descent,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous descent-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",9.013157894736842,9.013 events/flight,events per healthy flight,,,,,E002640,results/final_validation/canonical_results.csv,33;57;81,exploratory
D02-LSTM-MEAN-overall_fpr,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,overall_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated. No CI for the seed mean was executed.",0.011178760893038691,1.118%,fraction,,,,,E002986,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-climb_fpr,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,climb_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy climb audit rows alarmed / healthy climb audit rows. No CI for the seed mean was executed.",0.004884867082795737,0.488%,fraction,,,,,E002987,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-cruise_fpr,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,cruise_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy cruise audit rows alarmed / healthy cruise audit rows. No CI for the seed mean was executed.",0.007294274167810603,0.729%,fraction,,,,,E002988,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-descent_fpr,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Healthy descent audit rows alarmed / healthy descent audit rows. No CI for the seed mean was executed.",0.02080072446280118,2.080%,fraction,,,,,E002989,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-descent_minus_climb,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_minus_climb,"Arithmetic mean over seeds 0, 1, 2 of: Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100. No CI for the seed mean was executed.",0.015915857380005442,+1.592 pp,fraction difference,,,,,E002990,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-descent_minus_cruise,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,descent_minus_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100. No CI for the seed mean was executed.",0.013506450294990577,+1.351 pp,fraction difference,,,,,E002991,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-worst_cross_phase_transfer_fpr,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,worst_cross_phase_transfer_fpr,"Arithmetic mean over seeds 0, 1, 2 of: Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers. No CI for the seed mean was executed.",0.05953833883805545,5.954%,fraction,,,,,E002993,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-healthy_flights_with_alarm_climb,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_climb,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one climb-phase false alarm. No CI for the seed mean was executed.",0.9605263157894737,96.053%,fraction,,,,,E002995,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-false_alarm_events_per_healthy_flight_climb,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_climb,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous climb-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",1.6535087719298245,1.654 events/flight,events per healthy flight,,,,,E002996,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-healthy_flights_with_alarm_cruise,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one cruise-phase false alarm. No CI for the seed mean was executed.",0.7017543859649122,70.175%,fraction,,,,,E002997,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-false_alarm_events_per_healthy_flight_cruise,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_cruise,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous cruise-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",4.421052631578947,4.421 events/flight,events per healthy flight,,,,,E002998,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-healthy_flights_with_alarm_descent,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,healthy_flights_with_alarm_descent,"Arithmetic mean over seeds 0, 1, 2 of: Fraction of healthy flights with at least one descent-phase false alarm. No CI for the seed mean was executed.",1.0,100.000%,fraction,,,,,E002999,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-LSTM-MEAN-false_alarm_events_per_healthy_flight_descent,frozen primary pooled endpoint,DS02 discovery,lstm_autoencoder,history,"mean(seeds 0,1,2)",primary,0.01,pooled,false_alarm_events_per_healthy_flight_descent,"Arithmetic mean over seeds 0, 1, 2 of: Mean number of contiguous descent-phase false-alarm events per healthy flight. No CI for the seed mean was executed.",9.052631578947368,9.053 events/flight,events per healthy flight,,,,,E003000,results/final_validation/canonical_results.csv,105;129;153,exploratory
D02-IF-S0-overall_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.01084243603863195,1.084%,fraction,0.006704162312199066,0.02214518753307093,"[0.670%, 2.215%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000466,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-climb_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0028507166021550373,0.285%,fraction,0.0008361636624438349,0.013563301918338093,"[0.084%, 1.356%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000467,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-cruise_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.005663925065463899,0.566%,fraction,0.002724195641137157,0.013608508829898582,"[0.272%, 1.361%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000468,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-descent_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.02335427196315169,2.335%,fraction,0.013717118862449045,0.046696737456667275,"[1.372%, 4.670%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000469,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-descent_minus_climb,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.020503555360996652,+2.050 pp,fraction difference,0.00849743221859779,0.04073940545981946,"[+0.850 pp, +4.074 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000470,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-descent_minus_cruise,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.01769034689768779,+1.769 pp,fraction difference,0.00677705340901233,0.03749168454785668,"[+0.678 pp, +3.749 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000471,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S0-worst_cross_phase_transfer_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,0,primary,0.01,pooled,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.2998200335110014,29.982%,fraction,0.16647772613366332,0.48822752413666237,"[16.648%, 48.823%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000473,results/final_validation/canonical_results.csv,33,exploratory
D02-IF-S1-overall_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.01172211409031823,1.172%,fraction,0.0072969486658549555,0.022765184122697322,"[0.730%, 2.277%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000826,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-climb_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0025281584545105832,0.253%,fraction,0.0007012048746893505,0.012192684753453111,"[0.070%, 1.219%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000827,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-cruise_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.005283253930717853,0.528%,fraction,0.002387745358197481,0.013465329979664641,"[0.239%, 1.347%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000828,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-descent_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.026691581567570177,2.669%,fraction,0.016072671008485112,0.04754973650544288,"[1.607%, 4.755%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000829,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-descent_minus_climb,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.024163423113059593,+2.416 pp,fraction difference,0.013132632877317202,0.04166002372945723,"[+1.313 pp, +4.166 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000830,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-descent_minus_cruise,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.021408327636852326,+2.141 pp,fraction difference,0.010115695467901366,0.039428187095501506,"[+1.012 pp, +3.943 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000831,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S1-worst_cross_phase_transfer_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,1,primary,0.01,pooled,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.25460776269246416,25.461%,fraction,0.14434378782319554,0.42555893506509246,"[14.434%, 42.556%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000833,results/final_validation/canonical_results.csv,57,exploratory
D02-IF-S2-overall_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.01124879650345291,1.125%,fraction,0.00696335605561932,0.021832017262574444,"[0.696%, 2.183%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001186,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-climb_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0026589252711231998,0.266%,fraction,0.0007391788654810347,0.012812002062855285,"[0.074%, 1.281%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001187,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-cruise_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.00580235093264428,0.580%,fraction,0.0026733934879969432,0.014126349624557675,"[0.267%, 1.413%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001188,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-descent_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.02455404855647569,2.455%,fraction,0.014815755567805289,0.04598669491660724,"[1.482%, 4.599%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001189,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-descent_minus_climb,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.02189512328535249,+2.190 pp,fraction difference,0.01062552837832313,0.03947299559401709,"[+1.063 pp, +3.947 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001190,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-descent_minus_cruise,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.01875169762383141,+1.875 pp,fraction difference,0.007422214691273734,0.037090559946258005,"[+0.742 pp, +3.709 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001191,results/final_validation/canonical_results.csv,81,exploratory
D02-IF-S2-worst_cross_phase_transfer_fpr,individual-seed bootstrap support,DS02 discovery,isolation_forest,history,2,primary,0.01,pooled,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.26399911740572446,26.400%,fraction,0.1510418872236548,0.4465479799339073,"[15.104%, 44.655%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001193,results/final_validation/canonical_results.csv,81,exploratory
D02-LSTM-S0-overall_fpr,individual-seed bootstrap support,DS02 discovery,lstm_autoencoder,history,0,primary,0.01,pooled,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.010987894614107634,1.099%,fraction,0.00673222622609339,0.019932343456875508,"[0.673%, 1.993%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001546,results/final_validation/canonical_results.csv,105,exploratory
D02-LSTM-S0-climb_fpr,individual-seed bootstrap support,DS02 discovery,lstm_autoencoder,history,0,primary,0.01,pooled,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.004524531854796527,0.452%,fraction,0.0017108004101324124,0.018463846704625562,"[0.171%, 1.846%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001547,results/final_validation/canonical_results.csv,105,exploratory
D02-LSTM-S0-cruise_fpr,individual-seed bootstrap support,DS02 discovery,lstm_autoencoder,history,0,primary,0.01,pooled,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.007071254715131101,0.707%,fraction,0.0038907272352698297,0.015582554030321893,"[0.389%, 1.558%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E001548,results/final_validation/canonical_results.csv,105,exploratory
