split,unit,cycle,flight_class,rows,alt_min,alt_max,climb_rows,cruise_rows,descent_rows,healthy_rows
dev,5,33,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,5,34,3,4311,10004.0,20007.0,1290,1340,1681,0
dev,5,35,3,16470,10001.0,29039.0,2927,9014,4529,0
dev,5,36,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,5,37,3,12782,10005.0,31017.0,6173,3448,3161,0
dev,5,38,3,7694,10003.0,28021.0,3487,1572,2635,0
dev,5,39,3,8734,10006.0,22008.0,1527,5495,1712,0
dev,5,40,3,9058,10001.0,28028.0,2712,3396,2950,0
dev,5,41,3,13850,10005.0,28028.0,3251,7821,2778,0
dev,5,42,3,13140,10004.0,27018.0,2902,7069,3169,0
dev,5,43,3,8928,10002.0,25019.0,2151,4055,2722,0
dev,5,44,3,8225,10005.0,22003.0,3062,1399,3764,0
dev,5,45,3,13850,10005.0,28028.0,3251,7821,2778,0
dev,5,46,3,5500,10001.0,20031.0,1264,1888,2348,0
dev,5,47,3,11641,10004.0,29025.0,4606,2976,4059,0
dev,5,48,3,11461,10004.0,25023.0,2859,4216,4386,0
dev,5,49,3,14353,10003.0,28025.0,3241,6297,4815,0
dev,5,50,3,10704,10001.0,25032.0,2712,4440,3552,0
dev,5,51,3,4311,10004.0,20007.0,1290,1340,1681,0
dev,5,52,3,8271,10004.0,23014.0,2729,1648,3894,0
dev,5,53,3,15884,10001.0,28021.0,3302,9592,2990,0
dev,5,54,3,7727,10001.0,28018.0,3764,1389,2574,0
dev,5,55,3,12383,10001.0,29019.0,4206,5523,2654,0
dev,5,56,3,14256,10002.0,28024.0,2988,7325,3943,0
dev,5,57,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,5,58,3,14334,10001.0,31015.0,4070,4803,5461,0
dev,5,59,3,14249,10002.0,26029.0,2852,3106,8291,0
dev,5,60,3,12213,10001.0,25031.0,2741,5327,4145,0
dev,5,61,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,5,62,3,12842,10006.0,29019.0,3400,6141,3301,0
dev,5,63,3,12783,10002.0,27015.0,3449,5181,4153,0
dev,5,64,3,7412,10007.0,23006.0,1771,2737,2904,0
dev,5,65,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,5,66,3,16623,10002.0,29020.0,3377,10653,2593,0
dev,5,67,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,5,68,3,14592,10002.0,29023.0,3526,4736,6330,0
dev,5,69,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,5,70,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,5,71,3,8271,10004.0,23014.0,2729,1648,3894,0
dev,5,72,3,10557,10004.0,25027.0,2311,4654,3592,0
dev,5,73,3,9606,10003.0,26026.0,1908,4458,3240,0
dev,5,74,3,13008,10005.0,27017.0,5028,4517,3463,0
dev,5,75,3,5428,10002.0,20004.0,2040,1929,1459,0
dev,5,76,3,17636,10001.0,31019.0,3612,10521,3503,0
dev,5,77,3,13073,10008.0,31027.0,4384,3774,4915,0
dev,5,78,3,10078,10005.0,29018.0,2991,4223,2864,0
dev,5,79,3,8812,10003.0,22006.0,1949,2355,4508,0
dev,5,80,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,5,81,3,13940,10005.0,28020.0,3800,6079,4061,0
dev,5,82,3,5428,10002.0,20004.0,2040,1929,1459,0
dev,5,83,3,8483,10004.0,23021.0,2634,3454,2395,0
dev,5,84,3,15140,10002.0,16826.0,772,1271,13097,0
dev,5,85,3,18169,10004.0,29022.0,4699,10468,3002,0
dev,5,86,3,13751,10008.0,28023.0,2138,6376,5237,0
dev,5,87,3,14334,10001.0,31015.0,4070,4803,5461,0
dev,5,88,3,14985,10004.0,31016.0,4059,1945,8981,0
dev,5,89,3,11764,10005.0,31021.0,3836,4826,3102,0
dev,10,1,3,10723,10001.0,28027.0,2856,5859,2008,10723
dev,10,2,3,10704,10001.0,25032.0,2712,4440,3552,10704
dev,10,3,3,11656,10003.0,29025.0,5290,2192,4174,11656
dev,10,4,3,5428,10002.0,20004.0,2040,1929,1459,5428
dev,10,5,3,10501,10001.0,25036.0,3009,5528,1964,10501
dev,10,6,3,10271,10001.0,16332.0,607,7579,2085,10271
dev,10,7,3,12732,10001.0,31028.0,3641,4448,4643,12732
dev,10,8,3,7412,10007.0,23006.0,1771,2737,2904,7412
dev,10,9,3,17892,10003.0,29016.0,4364,9732,3796,17892
dev,10,10,3,15195,10002.0,31015.0,4381,5296,5518,15195
dev,10,11,3,13140,10004.0,27018.0,2902,7069,3169,13140
dev,10,12,3,8570,10005.0,23013.0,3408,2648,2514,8570
dev,10,13,3,13050,10006.0,29023.0,3819,6062,3169,13050
dev,10,14,3,10262,10006.0,25022.0,2464,4864,2934,10262
dev,10,15,3,17186,10001.0,29024.0,4356,7219,5611,17186
dev,10,16,3,13328,10003.0,29018.0,2807,6231,4290,13328
dev,10,17,3,12842,10006.0,29019.0,3400,6141,3301,0
dev,10,18,3,6941,10003.0,22008.0,1668,3880,1393,0
dev,10,19,3,14929,10004.0,33035.0,4044,5466,5419,0
dev,10,20,3,9058,10001.0,28028.0,2712,3396,2950,0
dev,10,21,3,11509,10005.0,29006.0,3002,5236,3271,0
dev,10,22,3,14353,10003.0,28025.0,3241,6297,4815,0
dev,10,23,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,10,24,3,13572,10004.0,31017.0,4535,5191,3846,0
dev,10,25,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,10,26,3,10501,10001.0,25036.0,3009,5528,1964,0
dev,10,27,3,13257,10001.0,29018.0,3214,5710,4333,0
dev,10,28,3,17892,10003.0,29016.0,4364,9732,3796,0
dev,10,29,3,10262,10006.0,25022.0,2464,4864,2934,0
dev,10,30,3,13455,10003.0,28020.0,3518,7579,2358,0
dev,10,31,3,14331,10004.0,28029.0,2631,9164,2536,0
dev,10,32,3,13940,10005.0,28020.0,3800,6079,4061,0
dev,10,33,3,7412,10007.0,23006.0,1771,2737,2904,0
dev,10,34,3,10723,10001.0,28027.0,2856,5859,2008,0
dev,10,35,3,14256,10002.0,28024.0,2988,7325,3943,0
dev,10,36,3,10074,10006.0,25017.0,2966,3960,3148,0
dev,10,37,3,11764,10005.0,31021.0,3836,4826,3102,0
dev,10,38,3,13850,10005.0,28028.0,3251,7821,2778,0
dev,10,39,3,14346,10006.0,27033.0,3405,2752,8189,0
dev,10,40,3,13270,10003.0,29018.0,3676,6624,2970,0
dev,10,41,3,13940,10005.0,28020.0,3800,6079,4061,0
dev,10,42,3,10271,10001.0,16332.0,607,7579,2085,0
dev,10,43,3,14592,10002.0,29023.0,3526,4736,6330,0
dev,10,44,3,10557,10004.0,25027.0,2311,4654,3592,0
dev,10,45,3,8755,10006.0,20017.0,1939,2703,4113,0
dev,10,46,3,17398,10004.0,31019.0,3994,8806,4598,0
dev,10,47,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,10,48,3,9728,10003.0,22010.0,1665,6550,1513,0
dev,10,49,3,12732,10001.0,31028.0,3641,4448,4643,0
dev,10,50,3,14346,10006.0,27033.0,3405,2752,8189,0
dev,10,51,3,4311,10004.0,20007.0,1290,1340,1681,0
dev,10,52,3,11680,10003.0,29025.0,4366,3154,4160,0
dev,10,53,3,15195,10002.0,31015.0,4381,5296,5518,0
dev,10,54,3,10557,10004.0,25027.0,2311,4654,3592,0
dev,10,55,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,10,56,3,13679,10002.0,29065.0,4014,5135,4530,0
dev,10,57,3,7412,10007.0,23006.0,1771,2737,2904,0
dev,10,58,3,14771,10002.0,31018.0,4176,6016,4579,0
dev,10,59,3,12323,10004.0,25024.0,2576,3780,5967,0
dev,10,60,3,10704,10001.0,25032.0,2712,4440,3552,0
dev,10,61,3,13574,10002.0,28017.0,3316,6681,3577,0
dev,10,62,3,11573,10002.0,27010.0,3378,2869,5326,0
dev,10,63,3,13008,10005.0,27017.0,5028,4517,3463,0
dev,10,64,3,13455,10003.0,28020.0,3518,7579,2358,0
dev,10,65,3,8567,10002.0,22007.0,1607,2646,4314,0
dev,10,66,3,9831,10002.0,22010.0,2031,3448,4352,0
dev,10,67,3,12562,10003.0,29020.0,4727,3161,4674,0
dev,10,68,3,10171,10004.0,18030.0,739,4918,4514,0
dev,10,69,3,13574,10002.0,28017.0,3316,6681,3577,0
dev,10,70,3,9058,10001.0,28028.0,2712,3396,2950,0
dev,10,71,3,16550,10002.0,31026.0,3788,6329,6433,0
dev,10,72,3,7727,10001.0,28018.0,3764,1389,2574,0
dev,10,73,3,6014,10003.0,25010.0,2813,1476,1725,0
dev,10,74,3,10271,10001.0,16332.0,607,7579,2085,0
dev,10,75,3,14353,10003.0,28025.0,3241,6297,4815,0
dev,10,76,3,5428,10002.0,20004.0,2040,1929,1459,0
dev,10,77,3,11872,10005.0,29023.0,4006,4392,3474,0
dev,10,78,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,10,79,3,10074,10006.0,25017.0,2966,3960,3148,0
dev,10,80,3,11325,10003.0,31052.0,4102,3601,3622,0
dev,10,81,3,11509,10005.0,29006.0,3002,5236,3271,0
dev,10,82,3,12562,10003.0,29020.0,4727,3161,4674,0
dev,16,1,3,17892,10003.0,29016.0,4364,9732,3796,17892
dev,16,2,3,9606,10004.0,16179.0,844,6898,1864,9606
dev,16,3,3,15195,10002.0,31015.0,4381,5296,5518,15195
dev,16,4,3,8535,10001.0,22007.0,1717,3407,3411,8535
dev,16,5,3,11656,10003.0,29025.0,5290,2192,4174,11656
dev,16,6,3,17892,10003.0,29016.0,4364,9732,3796,17892
dev,16,7,3,16379,10003.0,29025.0,4559,9216,2604,16379
dev,16,8,3,11093,10006.0,35033.0,6050,3132,1911,11093
dev,16,9,3,14249,10002.0,26029.0,2852,3106,8291,14249
dev,16,10,3,11689,10004.0,25032.0,2583,5477,3629,11689
dev,16,11,3,11656,10003.0,29025.0,5290,2192,4174,11656
dev,16,12,3,10745,10002.0,26017.0,3325,5172,2248,10745
dev,16,13,3,10171,10004.0,18030.0,739,4918,4514,10171
dev,16,14,3,14353,10003.0,28025.0,3241,6297,4815,14353
dev,16,15,3,13508,10003.0,25032.0,3090,7275,3143,13508
dev,16,16,3,14249,10002.0,26029.0,2852,3106,8291,0
dev,16,17,3,7701,10001.0,22008.0,2139,1849,3713,0
dev,16,18,3,12093,10002.0,29035.0,4566,4098,3429,0
dev,16,19,3,14686,10004.0,31023.0,3774,8202,2710,0
dev,16,20,3,13008,10006.0,28013.0,2899,5755,4354,0
dev,16,21,3,10537,10001.0,26024.0,3123,1165,6249,0
dev,16,22,3,14175,10002.0,31026.0,4256,4659,5260,0
dev,16,23,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,16,24,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,16,25,3,7412,10007.0,23006.0,1771,2737,2904,0
dev,16,26,3,9717,10001.0,31017.0,3628,3641,2448,0
dev,16,27,3,9831,10002.0,22010.0,2031,3448,4352,0
dev,16,28,3,12842,10006.0,29019.0,3400,6141,3301,0
dev,16,29,3,17892,10003.0,29016.0,4364,9732,3796,0
dev,16,30,3,9571,10001.0,28033.0,4154,3260,2157,0
dev,16,31,3,16550,10002.0,31026.0,3788,6329,6433,0
dev,16,32,3,16550,10002.0,31026.0,3788,6329,6433,0
dev,16,33,3,12093,10002.0,29035.0,4566,4098,3429,0
dev,16,34,3,11641,10004.0,29025.0,4606,2976,4059,0
dev,16,35,3,13257,10001.0,29018.0,3214,5710,4333,0
dev,16,36,3,15140,10002.0,16826.0,772,1271,13097,0
dev,16,37,3,10745,10002.0,26017.0,3325,5172,2248,0
dev,16,38,3,13455,10003.0,28020.0,3518,7579,2358,0
dev,16,39,3,11036,10002.0,27020.0,3354,3193,4489,0
dev,16,40,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,16,41,3,12842,10006.0,29019.0,3400,6141,3301,0
dev,16,42,3,12093,10002.0,29035.0,4566,4098,3429,0
dev,16,43,3,10623,10003.0,21027.0,2077,4232,4314,0
dev,16,44,3,9606,10004.0,16179.0,844,6898,1864,0
dev,16,45,3,8812,10003.0,22006.0,1949,2355,4508,0
dev,16,46,3,13574,10002.0,28017.0,3316,6681,3577,0
dev,16,47,3,9606,10004.0,16179.0,844,6898,1864,0
dev,16,48,3,14468,10002.0,25024.0,2944,8792,2732,0
dev,16,49,3,12732,10001.0,31028.0,3641,4448,4643,0
dev,16,50,3,17892,10003.0,29016.0,4364,9732,3796,0
dev,16,51,3,13856,10007.0,29029.0,2223,7396,4237,0
dev,16,52,3,11036,10002.0,27020.0,3354,3193,4489,0
dev,16,53,3,8928,10002.0,25019.0,2151,4055,2722,0
dev,16,54,3,14686,10004.0,31023.0,3774,8202,2710,0
dev,16,55,3,13940,10005.0,28020.0,3800,6079,4061,0
dev,16,56,3,12016,10003.0,29022.0,3211,4540,4265,0
dev,16,57,3,5428,10002.0,20004.0,2040,1929,1459,0
dev,16,58,3,12016,10003.0,29022.0,3211,4540,4265,0
dev,16,59,3,8128,10003.0,20009.0,1333,5226,1569,0
dev,16,60,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,16,61,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,16,62,3,10171,10004.0,18030.0,739,4918,4514,0
dev,16,63,3,17636,10001.0,31019.0,3612,10521,3503,0
dev,18,1,3,14353,10003.0,28025.0,3241,6297,4815,14353
dev,18,2,3,16550,10002.0,31026.0,3788,6329,6433,16550
dev,18,3,3,12782,10005.0,31017.0,6173,3448,3161,12782
dev,18,4,3,14353,10003.0,28025.0,3241,6297,4815,14353
dev,18,5,3,13008,10005.0,27017.0,5028,4517,3463,13008
dev,18,6,3,13257,10001.0,29018.0,3214,5710,4333,13257
dev,18,7,3,9058,10001.0,28028.0,2712,3396,2950,9058
dev,18,8,3,10440,10003.0,25016.0,3751,3291,3398,10440
dev,18,9,3,10440,10003.0,25016.0,3751,3291,3398,10440
dev,18,10,3,14331,10004.0,28029.0,2631,9164,2536,14331
dev,18,11,3,8826,10003.0,28013.0,4368,2947,1511,8826
dev,18,12,3,10723,10001.0,28027.0,2856,5859,2008,10723
dev,18,13,3,7412,10007.0,23006.0,1771,2737,2904,7412
dev,18,14,3,13572,10004.0,31017.0,4535,5191,3846,13572
dev,18,15,3,14353,10003.0,28025.0,3241,6297,4815,14353
dev,18,16,3,9831,10002.0,22010.0,2031,3448,4352,9831
dev,18,17,3,8623,10001.0,26016.0,3137,3097,2389,0
dev,18,18,3,16668,10002.0,29027.0,2777,8259,5632,0
dev,18,19,3,12718,10001.0,27015.0,2990,7850,1878,0
dev,18,20,3,13679,10002.0,29065.0,4014,5135,4530,0
dev,18,21,3,13679,10002.0,29065.0,4014,5135,4530,0
dev,18,22,3,14058,10003.0,29022.0,3743,5463,4852,0
dev,18,23,3,16668,10002.0,29027.0,2777,8259,5632,0
dev,18,24,3,12323,10004.0,25024.0,2576,3780,5967,0
dev,18,25,3,8570,10005.0,23013.0,3408,2648,2514,0
dev,18,26,3,11093,10006.0,35033.0,6050,3132,1911,0
dev,18,27,3,10623,10003.0,21027.0,2077,4232,4314,0
dev,18,28,3,7412,10007.0,23006.0,1771,2737,2904,0
dev,18,29,3,9728,10003.0,22010.0,1665,6550,1513,0
dev,18,30,3,13073,10008.0,31027.0,4384,3774,4915,0
dev,18,31,3,17186,10001.0,29024.0,4356,7219,5611,0
dev,18,32,3,14175,10002.0,31026.0,4256,4659,5260,0
dev,18,33,3,10078,10005.0,29018.0,2991,4223,2864,0
dev,18,34,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,18,35,3,12938,10004.0,27030.0,3161,7330,2447,0
dev,18,36,3,13856,10007.0,29029.0,2223,7396,4237,0
dev,18,37,3,10440,10003.0,25016.0,3751,3291,3398,0
dev,18,38,3,10262,10006.0,25022.0,2464,4864,2934,0
dev,18,39,3,15140,10002.0,16826.0,772,1271,13097,0
dev,18,40,3,9571,10001.0,28033.0,4154,3260,2157,0
dev,18,41,3,14175,10002.0,31026.0,4256,4659,5260,0
dev,18,42,3,14771,10002.0,31018.0,4176,6016,4579,0
dev,18,43,3,14686,10004.0,31023.0,3774,8202,2710,0
dev,18,44,3,12783,10002.0,27015.0,3449,5181,4153,0
dev,18,45,3,14058,10003.0,29022.0,3743,5463,4852,0
dev,18,46,3,8734,10006.0,22008.0,1527,5495,1712,0
dev,18,47,3,14463,10003.0,33028.0,3528,5654,5281,0
dev,18,48,3,16668,10002.0,29027.0,2777,8259,5632,0
dev,18,49,3,10537,10001.0,26024.0,3123,1165,6249,0
dev,18,50,3,14346,10006.0,27033.0,3405,2752,8189,0
dev,18,51,3,8570,10005.0,23013.0,3408,2648,2514,0
dev,18,52,3,14529,10001.0,29020.0,3843,7965,2721,0
dev,18,53,3,13270,10003.0,29018.0,3676,6624,2970,0
dev,18,54,3,10753,10001.0,28007.0,3635,4986,2132,0
dev,18,55,3,13300,10004.0,29027.0,4260,5866,3174,0
dev,18,56,3,6941,10003.0,22008.0,1668,3880,1393,0
dev,18,57,3,13008,10005.0,27017.0,5028,4517,3463,0
dev,18,58,3,13395,10001.0,29015.0,4412,6278,2705,0
dev,18,59,3,10952,10002.0,29025.0,4319,2597,4036,0
dev,18,60,3,13940,10005.0,28020.0,3800,6079,4061,0
dev,18,61,3,12783,10002.0,27015.0,3449,5181,4153,0
dev,18,62,3,14256,10002.0,28024.0,2988,7325,3943,0
dev,18,63,3,16550,10002.0,31026.0,3788,6329,6433,0
dev,18,64,3,13008,10005.0,27017.0,5028,4517,3463,0
dev,18,65,3,14771,10002.0,31018.0,4176,6016,4579,0
dev,18,66,3,14346,10006.0,27033.0,3405,2752,8189,0
dev,18,67,3,14985,10004.0,31016.0,4059,1945,8981,0
dev,18,68,3,12554,10002.0,29020.0,3839,2327,6388,0
dev,18,69,3,14686,10004.0,31023.0,3774,8202,2710,0
dev,18,70,3,12383,10001.0,29019.0,4206,5523,2654,0
dev,18,71,3,12842,10006.0,29019.0,3400,6141,3301,0
dev,20,1,3,14262,10004.0,27048.0,5278,5961,3023,14262
dev,20,2,3,15140,10002.0,16826.0,772,1271,13097,15140
dev,20,3,3,13300,10004.0,29027.0,4260,5866,3174,13300
dev,20,4,3,11573,10002.0,27010.0,3378,2869,5326,11573
dev,20,5,3,11461,10004.0,25023.0,2859,4216,4386,11461
dev,20,6,3,13856,10007.0,29029.0,2223,7396,4237,13856
dev,20,7,3,15195,10002.0,31015.0,4381,5296,5518,15195
dev,20,8,3,10271,10001.0,16332.0,607,7579,2085,10271
dev,20,9,3,11093,10006.0,35033.0,6050,3132,1911,11093
dev,20,10,3,9171,10002.0,22013.0,1955,4254,2962,9171
dev,20,11,3,13510,10004.0,31020.0,4417,3999,5094,13510
dev,20,12,3,11325,10003.0,31052.0,4102,3601,3622,11325
dev,20,13,3,10822,10003.0,29025.0,3537,3108,4177,10822
dev,20,14,3,15195,10002.0,31015.0,4381,5296,5518,15195
dev,20,15,3,11680,10003.0,29025.0,4366,3154,4160,11680
dev,20,16,3,5500,10001.0,20031.0,1264,1888,2348,5500
dev,20,17,3,9606,10004.0,16179.0,844,6898,1864,0
dev,20,18,3,12527,10001.0,28019.0,2941,6629,2957,0
dev,20,19,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,20,20,3,12874,10002.0,28022.0,3450,4660,4764,0
dev,20,21,3,10704,10001.0,25032.0,2712,4440,3552,0
dev,20,22,3,9728,10003.0,22010.0,1665,6550,1513,0
dev,20,23,3,12323,10004.0,25024.0,2576,3780,5967,0
dev,20,24,3,13270,10003.0,29018.0,3676,6624,2970,0
dev,20,25,3,9171,10002.0,22013.0,1955,4254,2962,0
dev,20,26,3,11680,10003.0,29025.0,4366,3154,4160,0
dev,20,27,3,8734,10006.0,22008.0,1527,5495,1712,0
dev,20,28,3,11416,10001.0,29022.0,3110,2849,5457,0
dev,20,29,3,8271,10004.0,23014.0,2729,1648,3894,0
dev,20,30,3,12323,10004.0,25024.0,2576,3780,5967,0
dev,20,31,3,17162,10005.0,29027.0,4054,10056,3052,0
dev,20,32,3,11457,10002.0,27017.0,3291,5172,2994,0
dev,20,33,3,8567,10002.0,22007.0,1607,2646,4314,0
dev,20,34,3,15195,10002.0,31015.0,4381,5296,5518,0
dev,20,35,3,13050,10006.0,29023.0,3819,6062,3169,0
dev,20,36,3,11689,10004.0,25032.0,2583,5477,3629,0
dev,20,37,3,5500,10001.0,20031.0,1264,1888,2348,0
dev,20,38,3,14058,10003.0,29022.0,3743,5463,4852,0
