split,unit,cycle,rows,alt_min,alt_max,primary_climb_rows,primary_cruise_rows,primary_descent_rows,alternative_climb_rows,alternative_cruise_rows,alternative_descent_rows
dev,5,31,15140,10002.0,16826.0,772,1271,13097,883,11181,3076
dev,5,32,13008,10005.0,27017.0,5028,4517,3463,4894,4245,3869
dev,5,33,10952,10002.0,29025.0,4319,2597,4036,4679,1910,4363
dev,5,34,4311,10004.0,20007.0,1290,1340,1681,1478,912,1921
dev,5,35,16470,10001.0,29039.0,2927,9014,4529,3350,9055,4065
dev,5,36,10952,10002.0,29025.0,4319,2597,4036,4679,1910,4363
dev,5,37,12782,10005.0,31017.0,6173,3448,3161,5719,3321,3742
dev,5,38,7694,10003.0,28021.0,3487,1572,2635,3958,949,2787
dev,5,39,8734,10006.0,22008.0,1527,5495,1712,1727,5113,1894
dev,5,40,9058,10001.0,28028.0,2712,3396,2950,3110,2766,3182
dev,5,41,13850,10005.0,28028.0,3251,7821,2778,3618,7096,3136
dev,5,42,13140,10004.0,27018.0,2902,7069,3169,3297,6273,3570
dev,5,43,8928,10002.0,25019.0,2151,4055,2722,2568,3414,2946
dev,5,44,8225,10005.0,22003.0,3062,1399,3764,3140,926,4159
dev,5,45,13850,10005.0,28028.0,3251,7821,2778,3618,7096,3136
dev,5,46,5500,10001.0,20031.0,1264,1888,2348,1485,1497,2518
dev,5,47,11641,10004.0,29025.0,4606,2976,4059,4558,2643,4440
dev,5,48,11461,10004.0,25023.0,2859,4216,4386,2325,4634,4502
dev,5,49,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,5,50,10704,10001.0,25032.0,2712,4440,3552,3236,4152,3316
dev,5,51,4311,10004.0,20007.0,1290,1340,1681,1478,912,1921
dev,5,52,8271,10004.0,23014.0,2729,1648,3894,3108,1003,4160
dev,5,53,15884,10001.0,28021.0,3302,9592,2990,3810,8790,3284
dev,5,54,7727,10001.0,28018.0,3764,1389,2574,4245,610,2872
dev,5,55,12383,10001.0,29019.0,4206,5523,2654,4736,4579,3068
dev,5,56,14256,10002.0,28024.0,2988,7325,3943,3378,6615,4263
dev,5,57,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,5,58,14334,10001.0,31015.0,4070,4803,5461,4389,4464,5481
dev,5,59,14249,10002.0,26029.0,2852,3106,8291,3175,3283,7791
dev,5,60,12213,10001.0,25031.0,2741,5327,4145,2883,4880,4450
dev,5,61,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,5,62,12842,10006.0,29019.0,3400,6141,3301,3079,6012,3751
dev,5,63,12783,10002.0,27015.0,3449,5181,4153,3985,4236,4562
dev,5,64,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,5,65,10952,10002.0,29025.0,4319,2597,4036,4679,1910,4363
dev,5,66,16623,10002.0,29020.0,3377,10653,2593,3835,9949,2839
dev,5,67,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,5,68,14592,10002.0,29023.0,3526,4736,6330,3411,5359,5822
dev,5,69,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,5,70,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,5,71,8271,10004.0,23014.0,2729,1648,3894,3108,1003,4160
dev,5,72,10557,10004.0,25027.0,2311,4654,3592,2743,4619,3195
dev,5,73,9606,10003.0,26026.0,1908,4458,3240,2244,3859,3503
dev,5,74,13008,10005.0,27017.0,5028,4517,3463,4894,4245,3869
dev,5,75,5428,10002.0,20004.0,2040,1929,1459,2311,1435,1682
dev,5,76,17636,10001.0,31019.0,3612,10521,3503,3879,9869,3888
dev,5,77,13073,10008.0,31027.0,4384,3774,4915,4736,3075,5262
dev,5,78,10078,10005.0,29018.0,2991,4223,2864,3451,3379,3248
dev,5,79,8812,10003.0,22006.0,1949,2355,4508,2259,1880,4673
dev,5,80,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,5,81,13940,10005.0,28020.0,3800,6079,4061,4340,5054,4546
dev,5,82,5428,10002.0,20004.0,2040,1929,1459,2311,1435,1682
dev,5,83,8483,10004.0,23021.0,2634,3454,2395,2984,2886,2613
dev,5,84,15140,10002.0,16826.0,772,1271,13097,883,11181,3076
dev,5,85,18169,10004.0,29022.0,4699,10468,3002,4460,10460,3249
dev,5,86,13751,10008.0,28023.0,2138,6376,5237,2298,6278,5175
dev,5,87,14334,10001.0,31015.0,4070,4803,5461,4389,4464,5481
dev,5,88,14985,10004.0,31016.0,4059,1945,8981,4529,5595,4861
dev,5,89,11764,10005.0,31021.0,3836,4826,3102,4454,3704,3606
dev,10,1,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,10,2,10704,10001.0,25032.0,2712,4440,3552,3236,4152,3316
dev,10,3,11656,10003.0,29025.0,5290,2192,4174,4839,2332,4485
dev,10,4,5428,10002.0,20004.0,2040,1929,1459,2311,1435,1682
dev,10,5,10501,10001.0,25036.0,3009,5528,1964,3261,5198,2042
dev,10,6,10271,10001.0,16332.0,607,7579,2085,718,7319,2234
dev,10,7,12732,10001.0,31028.0,3641,4448,4643,3653,3939,5140
dev,10,8,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,10,9,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,10,10,15195,10002.0,31015.0,4381,5296,5518,3720,5489,5986
dev,10,11,13140,10004.0,27018.0,2902,7069,3169,3297,6273,3570
dev,10,12,8570,10005.0,23013.0,3408,2648,2514,3523,2315,2732
dev,10,13,13050,10006.0,29023.0,3819,6062,3169,3985,5448,3617
dev,10,14,10262,10006.0,25022.0,2464,4864,2934,2837,4416,3009
dev,10,15,17186,10001.0,29024.0,4356,7219,5611,4257,7001,5928
dev,10,16,13328,10003.0,29018.0,2807,6231,4290,3326,5398,4604
dev,10,17,12842,10006.0,29019.0,3400,6141,3301,3079,6012,3751
dev,10,18,6941,10003.0,22008.0,1668,3880,1393,2036,3351,1554
dev,10,19,14929,10004.0,33035.0,4044,5466,5419,4411,5050,5468
dev,10,20,9058,10001.0,28028.0,2712,3396,2950,3110,2766,3182
dev,10,21,11509,10005.0,29006.0,3002,5236,3271,3522,4263,3724
dev,10,22,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,10,23,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,10,24,13572,10004.0,31017.0,4535,5191,3846,4190,5034,4348
dev,10,25,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,10,26,10501,10001.0,25036.0,3009,5528,1964,3261,5198,2042
dev,10,27,13257,10001.0,29018.0,3214,5710,4333,3652,4919,4686
dev,10,28,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,10,29,10262,10006.0,25022.0,2464,4864,2934,2837,4416,3009
dev,10,30,13455,10003.0,28020.0,3518,7579,2358,4044,6757,2654
dev,10,31,14331,10004.0,28029.0,2631,9164,2536,2981,8523,2827
dev,10,32,13940,10005.0,28020.0,3800,6079,4061,4340,5054,4546
dev,10,33,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,10,34,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,10,35,14256,10002.0,28024.0,2988,7325,3943,3378,6615,4263
dev,10,36,10074,10006.0,25017.0,2966,3960,3148,3449,3160,3465
dev,10,37,11764,10005.0,31021.0,3836,4826,3102,4454,3704,3606
dev,10,38,13850,10005.0,28028.0,3251,7821,2778,3618,7096,3136
dev,10,39,14346,10006.0,27033.0,3405,2752,8189,3497,6768,4081
dev,10,40,13270,10003.0,29018.0,3676,6624,2970,3697,6292,3281
dev,10,41,13940,10005.0,28020.0,3800,6079,4061,4340,5054,4546
dev,10,42,10271,10001.0,16332.0,607,7579,2085,718,7319,2234
dev,10,43,14592,10002.0,29023.0,3526,4736,6330,3411,5359,5822
dev,10,44,10557,10004.0,25027.0,2311,4654,3592,2743,4619,3195
dev,10,45,8755,10006.0,20017.0,1939,2703,4113,2161,2314,4280
dev,10,46,17398,10004.0,31019.0,3994,8806,4598,4662,7636,5100
dev,10,47,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,10,48,9728,10003.0,22010.0,1665,6550,1513,1944,6107,1677
dev,10,49,12732,10001.0,31028.0,3641,4448,4643,3653,3939,5140
dev,10,50,14346,10006.0,27033.0,3405,2752,8189,3497,6768,4081
dev,10,51,4311,10004.0,20007.0,1290,1340,1681,1478,912,1921
dev,10,52,11680,10003.0,29025.0,4366,3154,4160,4311,4484,2885
dev,10,53,15195,10002.0,31015.0,4381,5296,5518,3720,5489,5986
dev,10,54,10557,10004.0,25027.0,2311,4654,3592,2743,4619,3195
dev,10,55,10952,10002.0,29025.0,4319,2597,4036,4679,1910,4363
dev,10,56,13679,10002.0,29065.0,4014,5135,4530,3451,5248,4980
dev,10,57,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,10,58,14771,10002.0,31018.0,4176,6016,4579,4166,6008,4597
dev,10,59,12323,10004.0,25024.0,2576,3780,5967,3029,3214,6080
dev,10,60,10704,10001.0,25032.0,2712,4440,3552,3236,4152,3316
dev,10,61,13574,10002.0,28017.0,3316,6681,3577,3858,6003,3713
dev,10,62,11573,10002.0,27010.0,3378,2869,5326,3665,3719,4189
dev,10,63,13008,10005.0,27017.0,5028,4517,3463,4894,4245,3869
dev,10,64,13455,10003.0,28020.0,3518,7579,2358,4044,6757,2654
dev,10,65,8567,10002.0,22007.0,1607,2646,4314,1859,2207,4501
dev,10,66,9831,10002.0,22010.0,2031,3448,4352,2327,2755,4749
dev,10,67,12562,10003.0,29020.0,4727,3161,4674,5390,2282,4890
dev,10,68,10171,10004.0,18030.0,739,4918,4514,850,4678,4643
dev,10,69,13574,10002.0,28017.0,3316,6681,3577,3858,6003,3713
dev,10,70,9058,10001.0,28028.0,2712,3396,2950,3110,2766,3182
dev,10,71,16550,10002.0,31026.0,3788,6329,6433,3558,7543,5449
dev,10,72,7727,10001.0,28018.0,3764,1389,2574,4245,610,2872
dev,10,73,6014,10003.0,25010.0,2813,1476,1725,3343,860,1811
dev,10,74,10271,10001.0,16332.0,607,7579,2085,718,7319,2234
dev,10,75,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,10,76,5428,10002.0,20004.0,2040,1929,1459,2311,1435,1682
dev,10,77,11872,10005.0,29023.0,4006,4392,3474,3795,4290,3787
dev,10,78,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,10,79,10074,10006.0,25017.0,2966,3960,3148,3449,3160,3465
dev,10,80,11325,10003.0,31052.0,4102,3601,3622,3734,3479,4112
dev,10,81,11509,10005.0,29006.0,3002,5236,3271,3522,4263,3724
dev,10,82,12562,10003.0,29020.0,4727,3161,4674,5390,2282,4890
dev,16,1,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,16,2,9606,10004.0,16179.0,844,6898,1864,944,6600,2062
dev,16,3,15195,10002.0,31015.0,4381,5296,5518,3720,5489,5986
dev,16,4,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,16,5,11656,10003.0,29025.0,5290,2192,4174,4839,2332,4485
dev,16,6,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,16,7,16379,10003.0,29025.0,4559,9216,2604,5283,8197,2899
dev,16,8,11093,10006.0,35033.0,6050,3132,1911,6380,2398,2315
dev,16,9,14249,10002.0,26029.0,2852,3106,8291,3175,3283,7791
dev,16,10,11689,10004.0,25032.0,2583,5477,3629,1743,6205,3741
dev,16,11,11656,10003.0,29025.0,5290,2192,4174,4839,2332,4485
dev,16,12,10745,10002.0,26017.0,3325,5172,2248,3776,4279,2690
dev,16,13,10171,10004.0,18030.0,739,4918,4514,850,4678,4643
dev,16,14,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,16,15,13508,10003.0,25032.0,3090,7275,3143,2755,7533,3220
dev,16,16,14249,10002.0,26029.0,2852,3106,8291,3175,3283,7791
dev,16,17,7701,10001.0,22008.0,2139,1849,3713,2453,1248,4000
dev,16,18,12093,10002.0,29035.0,4566,4098,3429,4297,3919,3877
dev,16,19,14686,10004.0,31023.0,3774,8202,2710,4381,7250,3055
dev,16,20,13008,10006.0,28013.0,2899,5755,4354,3113,5259,4636
dev,16,21,10537,10001.0,26024.0,3123,1165,6249,3507,3946,3084
dev,16,22,14175,10002.0,31026.0,4256,4659,5260,4309,4387,5479
dev,16,23,10952,10002.0,29025.0,4319,2597,4036,4679,1910,4363
dev,16,24,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,16,25,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,16,26,9717,10001.0,31017.0,3628,3641,2448,4210,2673,2834
dev,16,27,9831,10002.0,22010.0,2031,3448,4352,2327,2755,4749
dev,16,28,12842,10006.0,29019.0,3400,6141,3301,3079,6012,3751
dev,16,29,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,16,30,9571,10001.0,28033.0,4154,3260,2157,4482,3223,1866
dev,16,31,16550,10002.0,31026.0,3788,6329,6433,3558,7543,5449
dev,16,32,16550,10002.0,31026.0,3788,6329,6433,3558,7543,5449
dev,16,33,12093,10002.0,29035.0,4566,4098,3429,4297,3919,3877
dev,16,34,11641,10004.0,29025.0,4606,2976,4059,4558,2643,4440
dev,16,35,13257,10001.0,29018.0,3214,5710,4333,3652,4919,4686
dev,16,36,15140,10002.0,16826.0,772,1271,13097,883,11181,3076
dev,16,37,10745,10002.0,26017.0,3325,5172,2248,3776,4279,2690
dev,16,38,13455,10003.0,28020.0,3518,7579,2358,4044,6757,2654
dev,16,39,11036,10002.0,27020.0,3354,3193,4489,3654,4122,3260
dev,16,40,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,16,41,12842,10006.0,29019.0,3400,6141,3301,3079,6012,3751
dev,16,42,12093,10002.0,29035.0,4566,4098,3429,4297,3919,3877
dev,16,43,10623,10003.0,21027.0,2077,4232,4314,2349,3733,4541
dev,16,44,9606,10004.0,16179.0,844,6898,1864,944,6600,2062
dev,16,45,8812,10003.0,22006.0,1949,2355,4508,2259,1880,4673
dev,16,46,13574,10002.0,28017.0,3316,6681,3577,3858,6003,3713
dev,16,47,9606,10004.0,16179.0,844,6898,1864,944,6600,2062
dev,16,48,14468,10002.0,25024.0,2944,8792,2732,2753,8757,2958
dev,16,49,12732,10001.0,31028.0,3641,4448,4643,3653,3939,5140
dev,16,50,17892,10003.0,29016.0,4364,9732,3796,4961,8814,4117
dev,16,51,13856,10007.0,29029.0,2223,7396,4237,2519,6848,4489
dev,16,52,11036,10002.0,27020.0,3354,3193,4489,3654,4122,3260
dev,16,53,8928,10002.0,25019.0,2151,4055,2722,2568,3414,2946
dev,16,54,14686,10004.0,31023.0,3774,8202,2710,4381,7250,3055
dev,16,55,13940,10005.0,28020.0,3800,6079,4061,4340,5054,4546
dev,16,56,12016,10003.0,29022.0,3211,4540,4265,3030,4409,4577
dev,16,57,5428,10002.0,20004.0,2040,1929,1459,2311,1435,1682
dev,16,58,12016,10003.0,29022.0,3211,4540,4265,3030,4409,4577
dev,16,59,8128,10003.0,20009.0,1333,5226,1569,1505,4816,1807
dev,16,60,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,16,61,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,16,62,10171,10004.0,18030.0,739,4918,4514,850,4678,4643
dev,16,63,17636,10001.0,31019.0,3612,10521,3503,3879,9869,3888
dev,18,1,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,18,2,16550,10002.0,31026.0,3788,6329,6433,3558,7543,5449
dev,18,3,12782,10005.0,31017.0,6173,3448,3161,5719,3321,3742
dev,18,4,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,18,5,13008,10005.0,27017.0,5028,4517,3463,4894,4245,3869
dev,18,6,13257,10001.0,29018.0,3214,5710,4333,3652,4919,4686
dev,18,7,9058,10001.0,28028.0,2712,3396,2950,3110,2766,3182
dev,18,8,10440,10003.0,25016.0,3751,3291,3398,4239,2677,3524
dev,18,9,10440,10003.0,25016.0,3751,3291,3398,4239,2677,3524
dev,18,10,14331,10004.0,28029.0,2631,9164,2536,2981,8523,2827
dev,18,11,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,18,12,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,18,13,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,18,14,13572,10004.0,31017.0,4535,5191,3846,4190,5034,4348
dev,18,15,14353,10003.0,28025.0,3241,6297,4815,3596,5515,5242
dev,18,16,9831,10002.0,22010.0,2031,3448,4352,2327,2755,4749
dev,18,17,8623,10001.0,26016.0,3137,3097,2389,3605,3324,1694
dev,18,18,16668,10002.0,29027.0,2777,8259,5632,3315,7341,6012
dev,18,19,12718,10001.0,27015.0,2990,7850,1878,3245,7371,2102
dev,18,20,13679,10002.0,29065.0,4014,5135,4530,3451,5248,4980
dev,18,21,13679,10002.0,29065.0,4014,5135,4530,3451,5248,4980
dev,18,22,14058,10003.0,29022.0,3743,5463,4852,4137,4821,5100
dev,18,23,16668,10002.0,29027.0,2777,8259,5632,3315,7341,6012
dev,18,24,12323,10004.0,25024.0,2576,3780,5967,3029,3214,6080
dev,18,25,8570,10005.0,23013.0,3408,2648,2514,3523,2315,2732
dev,18,26,11093,10006.0,35033.0,6050,3132,1911,6380,2398,2315
dev,18,27,10623,10003.0,21027.0,2077,4232,4314,2349,3733,4541
dev,18,28,7412,10007.0,23006.0,1771,2737,2904,2161,2098,3153
dev,18,29,9728,10003.0,22010.0,1665,6550,1513,1944,6107,1677
dev,18,30,13073,10008.0,31027.0,4384,3774,4915,4736,3075,5262
dev,18,31,17186,10001.0,29024.0,4356,7219,5611,4257,7001,5928
dev,18,32,14175,10002.0,31026.0,4256,4659,5260,4309,4387,5479
dev,18,33,10078,10005.0,29018.0,2991,4223,2864,3451,3379,3248
dev,18,34,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,18,35,12938,10004.0,27030.0,3161,7330,2447,2820,7356,2762
dev,18,36,13856,10007.0,29029.0,2223,7396,4237,2519,6848,4489
dev,18,37,10440,10003.0,25016.0,3751,3291,3398,4239,2677,3524
dev,18,38,10262,10006.0,25022.0,2464,4864,2934,2837,4416,3009
dev,18,39,15140,10002.0,16826.0,772,1271,13097,883,11181,3076
dev,18,40,9571,10001.0,28033.0,4154,3260,2157,4482,3223,1866
dev,18,41,14175,10002.0,31026.0,4256,4659,5260,4309,4387,5479
dev,18,42,14771,10002.0,31018.0,4176,6016,4579,4166,6008,4597
dev,18,43,14686,10004.0,31023.0,3774,8202,2710,4381,7250,3055
dev,18,44,12783,10002.0,27015.0,3449,5181,4153,3985,4236,4562
dev,18,45,14058,10003.0,29022.0,3743,5463,4852,4137,4821,5100
dev,18,46,8734,10006.0,22008.0,1527,5495,1712,1727,5113,1894
dev,18,47,14463,10003.0,33028.0,3528,5654,5281,3310,5537,5616
dev,18,48,16668,10002.0,29027.0,2777,8259,5632,3315,7341,6012
dev,18,49,10537,10001.0,26024.0,3123,1165,6249,3507,3946,3084
dev,18,50,14346,10006.0,27033.0,3405,2752,8189,3497,6768,4081
dev,18,51,8570,10005.0,23013.0,3408,2648,2514,3523,2315,2732
dev,18,52,14529,10001.0,29020.0,3843,7965,2721,4468,7133,2928
dev,18,53,13270,10003.0,29018.0,3676,6624,2970,3697,6292,3281
dev,18,54,10753,10001.0,28007.0,3635,4986,2132,3373,5015,2365
dev,18,55,13300,10004.0,29027.0,4260,5866,3174,4892,5111,3297
dev,18,56,6941,10003.0,22008.0,1668,3880,1393,2036,3351,1554
